by,descendants,id,kids,score,time,title,type,url,text
ezekg,24.0,40274662,"[40274967, 40274911, 40274957, 40275006, 40275115, 40275160, 40274893, 40275281, 40275052, 40274920, 40275229, 40275165]",97,1715003410,A fourteen-day free trial ain’t gonna cut it,story,https://keygen.sh/blog/your-14-day-free-trial-aint-gonna-cut-it/,
ryebread777,41.0,40273470,"[40275280, 40274902, 40274854, 40275202, 40274625, 40274930, 40274549, 40274787, 40274603, 40274753, 40274747, 40274701, 40274547, 40274476, 40274573]",102,1714995761,Show HN: A free site to explore and discover 6k plants,story,https://www.getanyplant.com/plants,"I’ve loved keeping plants since I was a kid. But the online world of plants can be confusing - strange vocabulary, plants going by conflicting names, and hundreds of niche websites. I wanted to create a site that would organize all of this info and make it easier to explore and discover new plants. That’s why I created GetAnyPlant, which aggregates and matches plants from dozens of online stores. It includes huge amounts of data on these plants along with filters and categories to help you search. You can also save plants to your wishlist and add notes to them.<p>I’m a data scientist by profession, so probably 80% of the work was totally new to me. I built v1 using wordpress , v2 using django, and v3 I pivoted to using react and next js for frontend.<p>I would greatly appreciate any feedback on the site as well as any advice on how to grow it."
wrongbaud,0.0,40274777,,12,1715003982,JTAG Hacking with a Raspberry Pi – Introducing the PiFex,story,https://voidstarsec.com/blog/jtag-pifex,
mpweiher,47.0,40262897,"[40274077, 40274017, 40275275, 40274134, 40273735, 40274102, 40274333, 40274582, 40273776, 40273829, 40274645, 40273815, 40273445]",96,1714893036,Swift's native Clocks are inefficient,story,https://wadetregaskis.com/swifts-native-clocks-are-very-inefficient/,
_emacsomancer_,52.0,40270586,"[40271602, 40271786, 40271529, 40272664, 40271578, 40271422, 40271370, 40272613, 40271801, 40272567, 40271939, 40271177, 40271859, 40271103, 40272937, 40271800, 40272821, 40273929, 40272389, 40272384]",262,1714962426,Remnants of a legendary typeface have been rescued from the Thames,story,https://news.artnet.com/art-world/doves-typeface-2454807,
alessiodm,38.0,40269489,"[40269490, 40274632, 40274970, 40270005, 40275012, 40270264, 40271218, 40270177, 40274786, 40272218, 40271015, 40270421]",410,1714950748,Deep Reinforcement Learning: Zero to Hero,story,https://github.com/alessiodm/drl-zh,
goldenskye,3.0,40262543,"[40273256, 40275104, 40272834]",50,1714887771,"With PowerPC, Windows CE and the WiiN-Pad Slate, Everyone's a WiiN-Er",story,http://oldvcr.blogspot.com/2024/05/with-powerpc-windows-ce-and-wiin-pad.html,
pmzy,18.0,40274158,"[40275049, 40275278, 40275230, 40275112, 40274919]",40,1715000646,How I Think About Debt,story,https://collabfund.com/blog/how-i-think-about-debt/,
dandevs,,40273587,,1,1714996811,Fern (YC W23) Is Hiring a Customer-Centric Software Engineer,job,https://www.ycombinator.com/companies/fern/jobs/KmSsgCu-deployed-engineer,
hddherman,161.0,40266845,"[40267441, 40268729, 40267790, 40268131, 40274425, 40274381, 40267731, 40268716, 40267396, 40273953, 40267849, 40267139, 40267971, 40267346, 40267172, 40267119, 40268638, 40271791, 40267242, 40267713, 40267498, 40272475]",304,1714932331,"Monitoring energy usage with smart plugs, Prometheus and Grafana",story,https://ounapuu.ee/posts/2024/05/02/smartplugs/,
ggeorgovassilis,18.0,40262626,"[40272958, 40271934, 40272011, 40274215, 40273025, 40273675, 40272422, 40271453, 40273597]",108,1714888922,A High-Level Technical Overview of Homomorphic Encryption,story,https://www.jeremykun.com/2024/05/04/fhe-overview/,
onatm,47.0,40274371,"[40274809, 40274952, 40275090, 40274836, 40275243, 40275288, 40275050, 40275078, 40274933, 40275125, 40275133, 40274822, 40275239, 40275252, 40274715, 40274880, 40274897, 40274590, 40274724]",74,1715001934,Stack Overflow and OpenAI are partnering,story,https://stackoverflow.co/company/press/archive/openai-partnership/,
TheRealPomax,43.0,40267164,"[40273545, 40273259, 40272088, 40267732, 40269491, 40273698, 40267762, 40270664, 40270785, 40268157, 40269877, 40267895, 40269423, 40268268, 40267796, 40270146, 40267165, 40271171]",244,1714934704,Flying planes in Microsoft Flight Simulator with a JavaScript autopilot (2023),story,https://pomax.github.io/are-we-flying/,"A (lengthy!) tutorial on how to write your own JS-based autopilot code to fly planes in Microsoft Flight Simulator with a web page to both visualize the flight and control the AP.<p>Note that this is a complete do-over of a previous page that used a combination of Python and JavaScript, and only covered basic autopilot functionality. This rewrite threw all of that out, and goes much, much further:<p>you just want to have the plane take off without having to do anything? Check, this tutorial covers auto-takeoff.<p>Flying with waypoint-based navigation, not by &quot;programming airports and radio beacons one letter at a time with a jog-dial&quot; but by just placing markers on a map and dragging those around as you please, mid-flight, Google Maps style? Check. After all, why would we not, putting a map on a webpage is super easy (barely an inconvenience).<p>In fact, let&#x27;s throw in flight plan saving and loading, so others can fly the same route!<p>And maybe you want the plane to fly a fixed distance above the ground, instead of at a fixed altitude... well: check. You&#x27;ll learn about terrain-follow using free Digital Elevation Model datasets for planet Earth.<p>And of course the big one, for the ultimate &quot;click button, JS flies the plane start to finish&quot; experience: ever wished the in-game autopilot could just land the plane for you? Well, it&#x27;s a video game, and we know programming, so: why not? We&#x27;re also implementing auto-landing and it&#x27;s going to be amazing.<p>If you play MSFS, and you&#x27;re a developer&#x2F;programmer, and you&#x27;ve always thought how cool it would be if you could just do some scripting for it... you can, there&#x27;s a <i>lot</i> of cool stuff you can do!<p>And of course if you don&#x27;t want to follow along and just want to have everything set up and ready to fly your plane, just clone <a href=""https:&#x2F;&#x2F;github.com&#x2F;Pomax&#x2F;are-we-flying"">https:&#x2F;&#x2F;github.com&#x2F;Pomax&#x2F;are-we-flying</a> and have fun."
ckcheng,41.0,40270219,"[40275255, 40275106, 40274788, 40274595, 40273847, 40274488, 40273072, 40273414, 40272064, 40272996, 40272720, 40274132, 40271504, 40274083, 40272963]",123,1714958186,BlackHole: macOS Audio Loopback Driver,story,https://github.com/ExistentialAudio/BlackHole,
uncertainrhymes,90.0,40263711,"[40274842, 40264773, 40274755, 40272645, 40273719, 40273533, 40272277, 40273041, 40271751, 40271876, 40273063, 40273653]",101,1714904897,A company is building a giant compressed-air battery in the Australian outback,story,https://www.wired.com/story/hydrostor-compressed-air-battery-california-australia-energy-climate/,
chaeeunlee9611,67.0,40271706,"[40272663, 40275191, 40274497, 40272922, 40274901, 40273601, 40272783, 40272324, 40274532, 40273699, 40272763, 40273028, 40272775, 40273172, 40273355, 40272197, 40272736, 40272114, 40273655, 40271707, 40272298]",117,1714976501,Show HN: Supertone Shift – AI powered Real-time voice changer,story,https://product.supertone.ai/shift,"Supertone&#x27;s Shift offers real-time voice changing technology. It lets users immediately switch to any selected voice. Just pick a voice and begin speaking. Shift is suited for VTubers, content creators, and gamers, as well as anyone who wishes to accurately express their chosen persona&#x27;s voice. Try out Supertone Shift now.
&gt;&gt; <a href=""https:&#x2F;&#x2F;product.supertone.ai&#x2F;shift"" rel=""nofollow"">https:&#x2F;&#x2F;product.supertone.ai&#x2F;shift</a>"
ignoramous,82.0,40264352,"[40264969, 40265846, 40267469, 40268906, 40271700, 40269830, 40264795, 40265882, 40264859, 40265516, 40264792, 40264933, 40267239, 40264799]",286,1714912244,Machine Unlearning in 2024,story,https://ai.stanford.edu/~kzliu/blog/unlearning,
typeofhuman,64.0,40269592,"[40272241, 40270444, 40271189, 40273316, 40271872, 40272573, 40271565, 40271491, 40271963, 40272612, 40270374, 40270500]",189,1714951940,Drug resistant bacteria found on ISS mutating to become functionally distinct,story,https://www.nasa.gov/centers-and-facilities/ames/ames-science/ames-space-biosciences/multi-drug-resistant-bacteria-found-on-iss-mutating-to-become-functionally-distinct/,
chmaynard,51.0,40246400,"[40267815, 40268847, 40272222, 40271922, 40267563, 40268788, 40267455, 40266969]",184,1714735438,"Interview with Marian Rejewski, the first person to crack Enigma (1974) [video]",story,https://www.flyingpenguin.com/?p=56989,
q2loyp,206.0,40264042,"[40265558, 40273912, 40266054, 40275045, 40265643, 40264932, 40264726, 40265478, 40266623, 40273341, 40264887, 40264846, 40265319, 40266576, 40266562, 40265023, 40266192, 40265058, 40271185, 40272652, 40272170, 40264811, 40266327, 40267222, 40265363, 40267950, 40265256, 40265029, 40268561, 40267350, 40265770, 40265265, 40264841, 40264691, 40265988, 40265097, 40265285, 40272352, 40274342]",330,1714908677,"Take a look at Traefik, even if you don't use containers",story,https://j6b72.de/article/why-you-should-take-a-look-at-traefik/,
_Microft,46.0,40266015,"[40267458, 40274529, 40267233, 40267890, 40273238, 40267484, 40266625, 40266876]",167,1714926093,ESP32-S3 has a few SIMD instructions,story,https://bitbanksoftware.blogspot.com/2024/01/surprise-esp32-s3-has-few-simd.html,
aragonite,20.0,40244097,"[40272279, 40269986, 40269421, 40272623, 40244112]",143,1714711243,"Data Science at the Command Line, 2nd Edition (2021)",story,https://jeroenjanssens.com/dsatcl/,
alnvdl,24.0,40267182,"[40268679, 40267560, 40269922, 40267709, 40267567, 40270151, 40269492, 40268278, 40267486, 40270637, 40267483, 40267183, 40267500]",139,1714934866,Designing furniture using the CSS grid (2023),story,https://alnvdl.github.io/2023/01/07/designing-furniture-using-the-css-grid.html,"At one point during the construction of my house, we needed designs for the kitchen and bathroom cabinets and a bedroom wardrobe.<p>I wanted full control of the design process. Doing it in vector illustration software was too painful and it was taking too long. But I didn&#x27;t have the time to learn any complex CAD tool either.<p>So I developed a small HTML&#x2F;JS&#x2F;CSS tool for designing MDF furniture by writing my own little language that transpiles into a CSS grid layout.<p>Take a look at the blog post for details:
<a href=""https:&#x2F;&#x2F;alnvdl.github.io&#x2F;2023&#x2F;01&#x2F;07&#x2F;designing-furniture-using-the-css-grid.html"" rel=""nofollow"">https:&#x2F;&#x2F;alnvdl.github.io&#x2F;2023&#x2F;01&#x2F;07&#x2F;designing-furniture-usin...</a><p>Or go directly to the tool (works best on desktop or tablet): <a href=""https:&#x2F;&#x2F;alnvdl.github.io&#x2F;squareplanner&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;alnvdl.github.io&#x2F;squareplanner&#x2F;</a>"
smartmic,59.0,40267559,"[40274800, 40274031, 40268532, 40271585, 40272734, 40269321]",102,1714938041,TheDesk desktop environment,story,https://github.com/theCheeseboard/thedesk,
gulced,108.0,40273598,"[40273996, 40274802, 40274023, 40274238, 40274025, 40273998, 40273965, 40275196, 40275283, 40273967, 40274164, 40273931, 40274280, 40274079, 40273940, 40273955, 40274004, 40273946, 40275258]",182,1714996863,NYU professors who defended vaping didn't disclose ties to Juul,story,https://www.statnews.com/2024/05/06/juul-vaping-advocates-nyu-professors-non-disclosed-conflict-interest/,
mooreds,333.0,40267675,"[40268948, 40268209, 40269093, 40268353, 40269232, 40271655, 40268862, 40268432, 40268213, 40268359, 40268690, 40268670, 40268919, 40268055, 40268287, 40269934, 40270173, 40269094, 40269105, 40271006, 40269713, 40268771, 40269660, 40269629, 40268337, 40268110, 40269549, 40269823, 40270393, 40268068, 40270995, 40268740, 40268352, 40269004, 40270217, 40269278, 40269335, 40268871]",426,1714938886,Bollards: Why and What,story,https://josh.works/bollards,
tech234a,168.0,40271104,"[40274748, 40275130, 40271689, 40271214, 40273246, 40271269, 40275005, 40271499, 40271207, 40271410, 40271203, 40271252, 40271629, 40271194, 40271395, 40275314, 40271540, 40271275]",153,1714969139,Helldivers 2 PSN account linking update will not be moving forward,story,https://twitter.com/PlayStation/status/1787331667616829929,
nsagent,47.0,40266791,"[40267719, 40268196, 40267471, 40273036, 40268504, 40268025, 40269850, 40268273, 40272051, 40267863, 40269216, 40268793, 40267637, 40269867, 40267829, 40271880, 40268376, 40267766]",121,1714931893,Infini-Gram: Scaling unbounded n-gram language models to a trillion tokens,story,https://arxiv.org/abs/2401.17377,
